Auction Type,Problem Type,Ite,Cte,DualFnValue,PrimalValue,DualFnValueAvg,PrimalFnValueAvg
First price,Indicator,100,0.0001,2544.141740481045,2526.6322649654544,0,0
First price,Indicator,200,0.0001,2535.8410818322236,2528.299943207448,0,0
First price,Indicator,300,0.0001,2535.7081068023563,2529.0530560698126,0,0
First price,Indicator,400,0.0001,2534.4611942328042,2529.4813565292056,0,0
First price,Indicator,500,0.0001,2533.6493311027034,2529.7450990630887,0,0
First price,Indicator,600,0.0001,2533.5751433685905,2529.9468645794227,0,0
First price,Indicator,700,0.0001,2532.6647124348788,2530.106065478444,0,0
First price,Indicator,800,0.0001,2532.6352713949914,2530.207446887561,0,0
First price,Indicator,900,0.0001,2532.4681090722215,2530.287978246221,0,0
First price,Indicator,1000,0.0001,2532.8706386453914,2530.353218028628,0,0
First price,Indicator,1100,0.0001,2532.2092660823273,2530.417556557469,0,0
First price,Indicator,1200,0.0001,2532.609819604944,2530.448714507491,0,0
First price,Indicator,1300,0.0001,2531.888466862178,2530.4982449708164,0,0
First price,Indicator,1400,0.0001,2531.800982365504,2530.525222668535,0,0
First price,Indicator,1500,0.0001,2531.9002444060898,2530.546930427564,0,0
First price,Indicator,1600,0.0001,2531.5465303610426,2530.57566121079,0,0
First price,Indicator,1700,0.0001,2531.7660726990375,2530.590006171966,0,0
First price,Indicator,1800,0.0001,2531.914711212378,2530.6048161738167,0,0
First price,Indicator,1900,0.0001,2531.998745200168,2530.6086540824235,0,0
First price,Indicator,2000,0.0001,2531.749093713269,2530.625504221443,0,0
First price,Indicator,2100,0.0001,2531.571196612489,2530.638678420999,0,0
First price,Indicator,2200,0.0001,2531.6290856339156,2530.640880023914,0,0
First price,Indicator,2300,0.0001,2531.4442524322367,2530.657098638328,0,0
First price,Indicator,2400,0.0001,2531.706674448192,2530.6496495848023,0,0
First price,Indicator,2500,0.0001,2531.6200630806534,2530.653979236997,0,0
First price,Indicator,2600,0.0001,2531.48048370066,2530.670783299738,0,0
First price,Indicator,2700,0.0001,2531.6650084341945,2530.666535784274,0,0
First price,Indicator,2800,0.0001,2531.335351422661,2530.6699460219133,0,0
First price,Indicator,2900,0.0001,2531.627534226856,2530.675929549246,0,0
First price,Indicator,3000,0.0001,2531.3263458072333,2530.677261634256,0,0
First price,Indicator,3100,0.0001,2531.562489505596,2530.665887181876,0,0
First price,Indicator,3200,0.0001,2531.265676981402,2530.6612503530005,0,0
First price,Indicator,3300,0.0001,2531.2449600330933,2530.670004970423,0,0
First price,Indicator,3400,0.0001,2531.2866242588184,2530.6698194859705,0,0
First price,Indicator,3500,0.0001,2531.051276939855,2530.654127717141,0,0
First price,Indicator,3600,0.0001,2531.3278752158226,2530.6597354261803,0,0
First price,Indicator,3700,0.0001,2531.052113929986,2530.657143876039,0,0
First price,Indicator,3800,0.0001,2531.389647372168,2530.652107813612,0,0
First price,Indicator,3900,0.0001,2531.188712445405,2530.6551341150043,0,0
First price,Indicator,4000,0.0001,2531.2055289081877,2530.6483332277894,0,0
First price,Indicator,4100,0.0001,2531.232318139488,2530.66334817447,0,0
First price,Indicator,4200,0.0001,2531.348084651204,2530.653540613421,0,0
First price,Indicator,4300,0.0001,2531.2914597263043,2530.6579076882217,0,0
First price,Indicator,4400,0.0001,2531.211628827158,2530.6565303795414,0,0
First price,Indicator,4500,0.0001,2531.175947267229,2530.6483569495504,0,0
First price,Indicator,4600,0.0001,2531.2566495332235,2530.656546070224,0,0
First price,Indicator,4700,0.0001,2531.4366204444455,2530.651927602187,0,0
First price,Indicator,4800,0.0001,2531.222702284924,2530.6509401412336,0,0
First price,Indicator,4900,0.0001,2531.132943043266,2530.65709003626,0,0
First price,Indicator,5000,0.0001,2531.1432852940193,2530.65199363892,0,0
First price,Indicator,5100,0.0001,2531.085465396768,2530.646455579416,2530.7691060184347,2530.6490141412346
First price,Indicator,5200,0.0001,2531.1328591813012,2530.646650316644,2530.7692779577214,2530.6486465763005
First price,Indicator,5300,0.0001,2531.0590549559993,2530.6497579726565,2530.7735131802733,2530.648959832056
First price,Indicator,5400,0.0001,2531.1082313550933,2530.649318418062,2530.7735520166243,2530.64896377492
First price,Indicator,5500,0.0001,2531.1470702339216,2530.6492067530116,2530.7714838851525,2530.6487526538613
First price,Indicator,5600,0.0001,2530.96401143484,2530.648601189355,2530.7716337935235,2530.6494919537854
First price,Indicator,5700,0.0001,2531.00747845478,2530.6481054186333,2530.7708898854885,2530.6497532971584
First price,Indicator,5800,0.0001,2531.1522034020427,2530.655613546165,2530.7696151242976,2530.6499641421574
First price,Indicator,5900,0.0001,2531.2021708533193,2530.646978928061,2530.7693894253207,2530.650006638048
First price,Indicator,6000,0.0001,2531.2264224769538,2530.650520163947,2530.7691647836527,2530.6500231041755
First price,Indicator,6100,0.0001,2531.0304100416406,2530.6530848547527,2530.7682665348893,2530.6501333134156
First price,Indicator,6200,0.0001,2531.183742333111,2530.651524476282,2530.767958413019,2530.6503263237514
First price,Indicator,6300,0.0001,2530.9360206253164,2530.647867774584,2530.767566437036,2530.650365000478
First price,Indicator,6400,0.0001,2531.1336987768263,2530.64793229258,2530.767231645886,2530.6505293286064
First price,Indicator,6500,0.0001,2531.0272101005066,2530.647730878721,2530.766699564692,2530.650500613715
First price,Indicator,6600,0.0001,2530.966232433948,2530.6506693512233,2530.766655471145,2530.650541379896
First price,Indicator,6700,0.0001,2531.015436555267,2530.6513599711966,2530.7663826395083,2530.650572038702
First price,Indicator,6800,0.0001,2531.0932990337124,2530.652154216256,2530.766128916931,2530.650670887743
First price,Indicator,6900,0.0001,2531.0373908857664,2530.6503985756217,2530.7659495467,2530.6506860459262
First price,Indicator,7000,0.0001,2530.9062176811226,2530.6472953033353,2530.7657349649226,2530.6506252191275
First price,Indicator,7100,0.0001,2531.185289546795,2530.6481067395835,2530.7650978919,2530.6506162175847
First price,Indicator,7200,0.0001,2531.00071712111,2530.650600170025,2530.7646585985804,2530.6506390758477
First price,Indicator,7300,0.0001,2531.0346409881913,2530.6532055696093,2530.764206996342,2530.6507749890143
First price,Indicator,7400,0.0001,2530.9993986161917,2530.653558656497,2530.763698766071,2530.6509319461284
First price,Indicator,7500,0.0001,2530.9306025329806,2530.656316092343,2530.7633784478694,2530.651003745469
First price,Indicator,7600,0.0001,2531.002722653546,2530.649503170964,2530.7630626480554,2530.6510288694085
First price,Indicator,7700,0.0001,2530.9709484280543,2530.6514970408125,2530.7626123019336,2530.6510271144884
