sim,Ind-Profit,Ind-Revenue,Ind-Cost,Ind-BidsMade,Ind-BidsWon,Ind-ClicksWon,Ind-%BudgetUsed
0,2709.431968959343,4362.0,-1652.568031040657,48801.0,8130.0,4362.0,0.8724
1,2649.925756609132,4362.0,-1712.0742433908683,48927.0,8367.0,4362.0,0.8724
2,2637.822201995961,4325.0,-1687.1777980040383,49240.0,8258.0,4325.0,0.865
3,2688.4479022336845,4378.0,-1689.5520977663157,48680.0,8284.0,4378.0,0.8756
4,2627.9974422682103,4322.0,-1694.0025577317901,49322.0,8331.0,4322.0,0.8644
5,2615.567241548187,4283.0,-1667.4327584518128,48911.0,8052.0,4283.0,0.8566
6,2628.577392214489,4320.0,-1691.4226077855112,49219.0,8247.0,4320.0,0.864
7,2706.3093151391818,4372.0,-1665.6906848608185,47972.0,8159.0,4372.0,0.8744
8,2706.1979554045024,4383.0,-1676.8020445954974,47563.0,8186.0,4383.0,0.8766
9,2636.4911283695465,4337.0,-1700.5088716304533,49207.0,8244.0,4337.0,0.8674
10,2640.8940995133885,4337.0,-1696.1059004866115,48552.0,8322.0,4337.0,0.8674
11,2645.33554335182,4348.0,-1702.6644566481798,48051.0,8300.0,4348.0,0.8696
12,2653.9852756310083,4348.0,-1694.014724368992,48564.0,8225.0,4348.0,0.8696
13,2685.6030755781094,4373.0,-1687.3969244218906,46479.0,8135.0,4373.0,0.8746
14,2687.721603918116,4366.0,-1678.2783960818833,48702.0,8242.0,4366.0,0.8732
15,2680.441050125677,4390.0,-1709.5589498743232,48818.0,8315.0,4390.0,0.878
16,2616.0096811546728,4291.0,-1674.9903188453277,48570.0,8167.0,4291.0,0.8582
17,2665.2034362805725,4356.0,-1690.7965637194272,48654.0,8190.0,4356.0,0.8712
18,2663.200336056574,4362.0,-1698.7996639434261,48599.0,8204.0,4362.0,0.8724
19,2591.782469255947,4277.0,-1685.2175307440527,49376.0,8272.0,4277.0,0.8554
20,2699.2254630889533,4370.0,-1670.7745369110467,47224.0,8188.0,4370.0,0.874
21,2723.831870494151,4405.0,-1681.1681295058481,47725.0,8249.0,4405.0,0.881
22,2641.9000571007155,4315.0,-1673.0999428992836,48771.0,8199.0,4315.0,0.863
23,2677.4146944130225,4367.0,-1689.5853055869775,48362.0,8268.0,4367.0,0.8734
24,2690.8740451027847,4376.0,-1685.1259548972155,48727.0,8193.0,4376.0,0.8752
25,2675.3016961970798,4393.0,-1717.6983038029202,49162.0,8329.0,4393.0,0.8786
26,2646.027400129942,4326.0,-1679.9725998700576,48938.0,8205.0,4326.0,0.8652
27,2655.5349857956976,4330.0,-1674.4650142043022,47771.0,8145.0,4330.0,0.866
28,2683.640955096194,4377.0,-1693.3590449038056,48909.0,8222.0,4377.0,0.8754
29,2676.115860758426,4358.0,-1681.884139241574,48482.0,8219.0,4358.0,0.8716
30,2681.6573969565256,4380.0,-1698.3426030434746,48542.0,8291.0,4380.0,0.876
31,2664.922277740396,4330.0,-1665.077722259604,48325.0,8158.0,4330.0,0.866
32,2659.567695164762,4316.0,-1656.4323048352376,48893.0,8078.0,4316.0,0.8632
33,2613.9616552919683,4305.0,-1691.0383447080314,49180.0,8186.0,4305.0,0.861
34,2608.1756190135043,4320.0,-1711.8243809864955,48057.0,8268.0,4320.0,0.864
35,2637.8251566257836,4332.0,-1694.1748433742164,48824.0,8279.0,4332.0,0.8664
36,2590.142515957911,4327.0,-1736.8574840420886,49303.0,8404.0,4327.0,0.8654
37,2698.5107320444035,4372.0,-1673.489267955596,49124.0,8284.0,4372.0,0.8744
38,2654.68110649845,4319.0,-1664.31889350155,48038.0,8128.0,4319.0,0.8638
39,2660.016182187321,4361.0,-1700.9838178126788,48463.0,8305.0,4361.0,0.8722
40,2714.492830836191,4392.0,-1677.50716916381,48317.0,8216.0,4392.0,0.8784
41,2672.9041907765763,4358.0,-1685.095809223424,48012.0,8188.0,4358.0,0.8716
42,2727.90143769798,4414.0,-1686.0985623020206,48758.0,8220.0,4414.0,0.8828
43,2625.856370585126,4311.0,-1685.1436294148739,48521.0,8227.0,4311.0,0.8622
44,2649.0342557132094,4315.0,-1665.9657442867915,49209.0,8134.0,4315.0,0.863
45,2565.642790011603,4268.0,-1702.3572099883972,48979.0,8227.0,4268.0,0.8536
46,2633.6649603788474,4323.0,-1689.3350396211524,48625.0,8222.0,4323.0,0.8646
47,2689.752350388459,4343.0,-1653.24764961154,48145.0,8047.0,4343.0,0.8686
48,2654.9932304288295,4343.0,-1688.0067695711705,48545.0,8228.0,4343.0,0.8686
49,2670.8267902066013,4380.0,-1709.1732097933987,47853.0,8246.0,4380.0,0.876
50,2610.0509381279644,4287.0,-1676.9490618720354,48895.0,8180.0,4287.0,0.8574
51,2747.842891508111,4411.0,-1663.157108491888,47553.0,8104.0,4411.0,0.8822
52,2708.516025551572,4376.0,-1667.483974448428,48687.0,8198.0,4376.0,0.8752
53,2675.6391387199665,4366.0,-1690.3608612800335,48622.0,8225.0,4366.0,0.8732
54,2692.940718340398,4373.0,-1680.0592816596022,49043.0,8177.0,4373.0,0.8746
55,2602.5186765985604,4309.0,-1706.4813234014393,49165.0,8307.0,4309.0,0.8618
56,2696.8980173152186,4380.0,-1683.101982684781,48015.0,8177.0,4380.0,0.876
57,2646.3884632595004,4323.0,-1676.6115367404998,48953.0,8230.0,4323.0,0.8646
58,2606.5443450378148,4297.0,-1690.455654962186,48775.0,8197.0,4297.0,0.8594
59,2719.446794401681,4426.0,-1706.5532055983188,47588.0,8307.0,4426.0,0.8852
60,2662.801834392282,4354.0,-1691.1981656077182,48271.0,8248.0,4354.0,0.8708
61,2646.696605892913,4352.0,-1705.3033941070867,48472.0,8241.0,4352.0,0.8704
62,2687.064625606576,4399.0,-1711.9353743934234,48796.0,8279.0,4399.0,0.8798
63,2692.3790509743653,4400.0,-1707.6209490256344,48544.0,8338.0,4400.0,0.88
64,2640.519974108445,4316.0,-1675.4800258915557,48343.0,8133.0,4316.0,0.8632
65,2658.259963174804,4368.0,-1709.7400368251963,48383.0,8328.0,4368.0,0.8736
66,2616.5392248976896,4324.0,-1707.4607751023095,48195.0,8267.0,4324.0,0.8648
67,2635.91818431746,4351.0,-1715.0818156825396,48669.0,8253.0,4351.0,0.8702
68,2708.0658307057124,4382.0,-1673.9341692942871,47825.0,8238.0,4382.0,0.8764
69,2625.466859336049,4299.0,-1673.5331406639511,48038.0,8142.0,4299.0,0.8598
70,2618.5073669534518,4265.0,-1646.4926330465487,49066.0,8106.0,4265.0,0.853
71,2599.4072735424384,4290.0,-1690.5927264575623,48680.0,8163.0,4290.0,0.858
72,2648.878283329099,4364.0,-1715.1217166709007,48530.0,8266.0,4364.0,0.8728
73,2629.5014091918656,4322.0,-1692.498590808134,49091.0,8183.0,4322.0,0.8644
74,2731.987993054467,4413.0,-1681.012006945533,48476.0,8194.0,4413.0,0.8826
75,2649.096428546133,4344.0,-1694.903571453867,48944.0,8276.0,4344.0,0.8688
76,2650.2868920682135,4362.0,-1711.7131079317865,48895.0,8313.0,4362.0,0.8724
77,2635.847122265185,4325.0,-1689.152877734814,48668.0,8154.0,4325.0,0.865
78,2691.423430151134,4414.0,-1722.5765698488663,48797.0,8400.0,4414.0,0.8828
79,2664.091634332949,4350.0,-1685.9083656670502,47704.0,8216.0,4350.0,0.87
80,2599.119476062383,4310.0,-1710.8805239376177,48906.0,8304.0,4310.0,0.862
81,2666.33571786327,4357.0,-1690.6642821367302,48737.0,8221.0,4357.0,0.8714
82,2700.6980234279827,4382.0,-1681.301976572017,48358.0,8199.0,4382.0,0.8764
83,2730.255268389968,4399.0,-1668.7447316100317,48188.0,8147.0,4399.0,0.8798
84,2719.6258625370733,4417.0,-1697.3741374629265,48506.0,8242.0,4417.0,0.8834
85,2669.868702448222,4353.0,-1683.1312975517776,48653.0,8203.0,4353.0,0.8706
86,2668.501463006346,4343.0,-1674.4985369936544,48073.0,8075.0,4343.0,0.8686
87,2669.9006490934603,4349.0,-1679.09935090654,48817.0,8272.0,4349.0,0.8698
88,2630.2246448729074,4336.0,-1705.7753551270926,48641.0,8289.0,4336.0,0.8672
89,2636.404325753101,4308.0,-1671.5956742468993,48762.0,8232.0,4308.0,0.8616
90,2701.3981030985406,4386.0,-1684.6018969014592,48212.0,8204.0,4386.0,0.8772
91,2663.7116228776385,4370.0,-1706.2883771223615,48210.0,8265.0,4370.0,0.874
92,2676.632782566994,4349.0,-1672.3672174330054,48831.0,8136.0,4349.0,0.8698
93,2699.698320758557,4404.0,-1704.3016792414428,48641.0,8260.0,4404.0,0.8808
94,2653.332149819288,4344.0,-1690.6678501807119,48191.0,8220.0,4344.0,0.8688
95,2645.721991442944,4338.0,-1692.2780085570566,48970.0,8203.0,4338.0,0.8676
96,2682.9378503180756,4332.0,-1649.0621496819242,48402.0,8116.0,4332.0,0.8664
97,2663.444325940651,4363.0,-1699.5556740593497,48872.0,8332.0,4363.0,0.8726
98,2678.475695150436,4376.0,-1697.5243048495636,48091.0,8236.0,4376.0,0.8752
99,2620.765692510394,4296.0,-1675.2343074896062,48150.0,8203.0,4296.0,0.8592
