multL2,multGr,sim,L2-Profit,L2-Revenue,L2-Cost,L2-BidsMade,L2-BidsWon,L2-ClicksWon,L2-%BudgetUsed,L2Ind-Profit,L2Ind-Revenue,L2Ind-Cost,L2Ind-BidsMade,L2Ind-BidsWon,L2Ind-ClicksWon,L2Ind-%BudgetUsed,Gr-Profit,Gr-Revenue,Gr-Cost,Gr-BidsMade,Gr-BidsWon,Gr-ClicksWon,Gr-%BudgetUsed
0.018,0.4,0,1461.294426,3901,-2439.705574,49450,6868,3901,0.7802,1945.378267,3626,-1680.621733,49876,6064,3626,0.7252,1353.858076,1738,-384.1419242,50000,2739,1738,0.3476
0.018,0.4,1,1397.893612,3869,-2471.106388,49423,6890,3869,0.7738,1908.701492,3630,-1721.298508,49948,6131,3630,0.726,1324.876224,1707,-382.1237758,50000,2714,1707,0.3414
0.018,0.4,2,1406.6722,3804,-2397.3278,49427,6747,3804,0.7608,1878.216414,3540,-1661.783586,49930,6026,3540,0.708,1266.743172,1635,-368.2568283,50000,2635,1635,0.327
0.018,0.4,3,1418.168846,3827,-2408.831154,49350,6735,3827,0.7654,1947.277547,3650,-1702.722453,49874,6132,3650,0.73,1327.810367,1700,-372.1896333,50000,2677,1700,0.34
0.018,0.4,4,1358.481161,3816,-2457.518839,49453,6922,3816,0.7632,1858.275582,3552,-1693.724418,50000,6159,3552,0.7104,1288.375012,1661,-372.6249883,50000,2673,1661,0.3322
0.018,0.4,5,1384.225106,3812,-2427.774894,49488,6707,3812,0.7624,1871.981503,3540,-1668.018497,50000,5958,3540,0.708,1226.79455,1584,-357.2054504,50000,2541,1584,0.3168
0.018,0.4,6,1417.56163,3853,-2435.43837,49425,6757,3853,0.7706,1887.804751,3564,-1676.195249,50000,6005,3564,0.7128,1252.056543,1612,-359.9434569,50000,2561,1612,0.3224
0.018,0.4,7,1483.066011,3894,-2410.933989,49435,6797,3894,0.7788,1940.408367,3631,-1690.591633,49863,6089,3631,0.7262,1330.537705,1713,-382.4622952,50000,2708,1713,0.3426
0.018,0.4,8,1445.463212,3890,-2444.536788,49464,6793,3890,0.778,1959.166355,3663,-1703.833645,49975,6086,3663,0.7326,1288.272067,1663,-374.7279326,50000,2641,1663,0.3326
0.018,0.4,9,1445.156438,3832,-2386.843562,49456,6683,3832,0.7664,1887.830637,3554,-1666.169363,50000,6010,3554,0.7108,1286.281525,1652,-365.718475,50000,2606,1652,0.3304
0.018,0.4,10,1396.649086,3848,-2451.350914,49434,6889,3848,0.7696,1881.055498,3573,-1691.944502,49986,6150,3573,0.7146,1303.705873,1682,-378.2941266,50000,2735,1682,0.3364
0.018,0.4,11,1426.953985,3870,-2443.046015,49406,6884,3870,0.774,1904.991708,3602,-1697.008292,49964,6182,3602,0.7204,1279.294446,1649,-369.7055543,50000,2673,1649,0.3298
0.018,0.4,12,1435.278859,3865,-2429.721141,49417,6788,3865,0.773,1917.809206,3590,-1672.190794,49934,6023,3590,0.718,1243.470666,1606,-362.5293341,50000,2604,1606,0.3212
0.018,0.4,13,1453.90723,3886,-2432.09277,49354,6779,3886,0.7772,1983.274263,3674,-1690.725737,49860,6033,3674,0.7348,1291.001463,1651,-359.9985367,50000,2581,1651,0.3302
0.018,0.4,14,1404.862653,3818,-2413.137347,49452,6788,3818,0.7636,1894.726155,3570,-1675.273845,49892,6061,3570,0.714,1283.718314,1657,-373.2816862,50000,2681,1657,0.3314
0.018,0.4,15,1396.162743,3833,-2436.837257,49439,6822,3833,0.7666,1954.327751,3655,-1700.672249,49963,6119,3655,0.731,1311.102388,1677,-365.897612,50000,2616,1677,0.3354
0.018,0.4,16,1412.086618,3834,-2421.913382,49370,6717,3834,0.7668,1883.159838,3570,-1686.840162,49953,6031,3570,0.714,1259.858142,1630,-370.1418578,50000,2613,1630,0.326
0.018,0.4,17,1439.156986,3844,-2404.843014,49420,6761,3844,0.7688,1928.062764,3610,-1681.937236,49913,6043,3610,0.722,1293.681679,1662,-368.3183211,50000,2642,1662,0.3324
0.018,0.4,18,1457.752909,3870,-2412.247091,49318,6731,3870,0.774,1934.855763,3627,-1692.144237,49961,6054,3627,0.7254,1288.950081,1653,-364.0499191,50000,2599,1653,0.3306
0.018,0.4,19,1437.890758,3862,-2424.109242,49408,6779,3862,0.7724,1870.541564,3544,-1673.458436,49887,6044,3544,0.7088,1309.680476,1675,-365.3195241,50000,2645,1675,0.335
0.018,0.4,20,1416.525756,3846,-2429.474244,49387,6836,3846,0.7692,1921.523018,3639,-1717.476982,49949,6182,3639,0.7278,1333.321457,1713,-379.678543,50000,2706,1713,0.3426
0.018,0.4,21,1449.081103,3889,-2439.918897,49360,6898,3889,0.7778,1961.579644,3661,-1699.420356,49914,6110,3661,0.7322,1324.113738,1698,-373.8862617,50000,2651,1698,0.3396
