multL2,multGr,sim,L2-Profit,L2-Revenue,L2-Cost,L2-BidsMade,L2-BidsWon,L2-ClicksWon,L2-%BudgetUsed,L2Ind-Profit,L2Ind-Revenue,L2Ind-Cost,L2Ind-BidsMade,L2Ind-BidsWon,L2Ind-ClicksWon,L2Ind-%BudgetUsed,Gr-Profit,Gr-Revenue,Gr-Cost,Gr-BidsMade,Gr-BidsWon,Gr-ClicksWon,Gr-%BudgetUsed
0.018,0.4,0.0,1865.6945749570116,4959.0,-3093.305425042989,48344.0,10116.0,4959.0,0.9918,2762.182097357686,4454.0,-1691.8179026423131,49825.0,8330.0,4454.0,0.8908,2281.310458879569,2926.0,-644.6895411204307,49750.0,4898.0,2926.0,0.5852
0.018,0.4,1.0,1844.2533504813189,4960.0,-3115.7466495186814,48289.0,10127.0,4960.0,0.992,2666.570501942854,4424.0,-1757.4294980571458,50000.0,8517.0,4424.0,0.8848,2211.838729350812,2859.0,-647.1612706491878,49798.0,4895.0,2859.0,0.5718
0.018,0.4,2.0,1898.3299176862201,4965.0,-3066.670082313779,48159.0,9960.0,4965.0,0.993,2666.8124884336708,4382.0,-1715.1875115663283,49922.0,8389.0,4382.0,0.8764,2204.6661680544244,2851.0,-646.333831945575,49774.0,4869.0,2851.0,0.5702
0.018,0.4,3.0,1906.3638075764725,4960.0,-3053.6361924235275,48020.0,9977.0,4960.0,0.992,2727.217273518632,4457.0,-1729.7827264813684,49921.0,8442.0,4457.0,0.8914,2275.4653588510528,2912.0,-636.534641148947,49748.0,4868.0,2912.0,0.5824
0.018,0.4,4.0,1912.9698014798325,4972.0,-3059.0301985201677,48037.0,10035.0,4972.0,0.9944,2655.287974011332,4377.0,-1721.712025988668,49990.0,8441.0,4377.0,0.8754,2198.3035101589485,2850.0,-651.6964898410522,49780.0,4941.0,2850.0,0.57
0.018,0.4,5.0,1812.2348253402445,4935.0,-3122.7651746597553,48431.0,10020.0,4935.0,0.987,2654.6549655084127,4371.0,-1716.345034491588,50000.0,8222.0,4371.0,0.8742,2170.580252490811,2806.0,-635.4197475091888,49806.0,4731.0,2806.0,0.5612
0.018,0.4,6.0,1841.339203676559,4938.0,-3096.6607963234414,48477.0,10023.0,4938.0,0.9876,2646.2291276859673,4369.0,-1722.7708723140327,50000.0,8353.0,4369.0,0.8738,2180.2928500028283,2825.0,-644.7071499971713,49786.0,4801.0,2825.0,0.565
0.018,0.4,7.0,1926.409361468636,4985.0,-3058.5906385313638,48101.0,9996.0,4985.0,0.997,2767.032173920862,4493.0,-1725.9678260791381,49942.0,8442.0,4493.0,0.8986,2267.041376878366,2919.0,-651.9586231216343,49776.0,4894.0,2919.0,0.5838
0.018,0.4,8.0,1933.6581680341735,5000.0,-3066.3418319658267,47704.0,9913.0,5000.0,1.0,2761.8234573482364,4503.0,-1741.1765426517636,49944.0,8424.0,4503.0,0.9006,2232.7276285503613,2884.0,-651.272371449639,49770.0,4861.0,2884.0,0.5768
0.018,0.4,9.0,1877.967039720666,4940.0,-3062.0329602793345,48213.0,9976.0,4940.0,0.988,2660.885163723648,4392.0,-1731.1148362763522,49971.0,8400.0,4392.0,0.8784,2219.9479328822345,2864.0,-644.0520671177661,49759.0,4808.0,2864.0,0.5728
0.018,0.4,10.0,1871.0607457127187,4958.0,-3086.939254287281,48232.0,10128.0,4958.0,0.9916,2672.0383177975455,4409.0,-1736.9616822024543,49996.0,8499.0,4409.0,0.8818,2228.792790490042,2873.0,-644.2072095099575,49753.0,4925.0,2873.0,0.5746
0.018,0.4,11.0,1874.6451242737194,4975.0,-3100.354875726281,48077.0,10090.0,4975.0,0.995,2690.3631710304844,4450.0,-1759.6368289695156,49986.0,8548.0,4450.0,0.89,2213.4096345924736,2875.0,-661.590365407526,49751.0,4956.0,2875.0,0.575
0.018,0.4,12.0,1897.5343069340008,4988.0,-3090.465693065999,48045.0,9988.0,4988.0,0.9976,2714.6049617637887,4459.0,-1744.3950382362118,49970.0,8433.0,4459.0,0.8918,2195.0903373063393,2838.0,-642.9096626936611,49760.0,4820.0,2838.0,0.5676
0.018,0.4,13.0,1885.3547842944804,4975.0,-3089.6452157055196,47951.0,9984.0,4975.0,0.995,2739.0600449538933,4523.0,-1783.939955046107,49885.0,8491.0,4523.0,0.9046,2231.9522131714475,2876.0,-644.0477868285526,49745.0,4806.0,2876.0,0.5752
0.018,0.4,14.0,1866.0657099649604,4951.0,-3084.9342900350393,48432.0,10037.0,4951.0,0.9902,2705.408961884111,4416.0,-1710.591038115889,49954.0,8378.0,4416.0,0.8832,2209.080796443614,2839.0,-629.9192035563858,49767.0,4829.0,2839.0,0.5678
0.018,0.4,15.0,1885.9084499356256,4964.0,-3078.091550064374,48031.0,10038.0,4964.0,0.9928,2716.5043255633304,4470.0,-1753.4956744366696,49993.0,8481.0,4470.0,0.894,2204.280698188063,2851.0,-646.7193018119375,49768.0,4863.0,2851.0,0.5702
