Budget,sim,Ind-Profit,Ind-Revenue,Ind-Cost,Ind-BidsMade,Ind-BidsWon,Ind-ClicksWon,Ind-%BudgetUsed,L2-Profit,L2-Revenue,L2-Cost,L2-BidsMade,L2-BidsWon,L2-ClicksWon,L2-%BudgetUsed,L2Ind-Profit,L2Ind-Revenue,L2Ind-Cost,L2Ind-BidsMade,L2Ind-BidsWon,L2Ind-ClicksWon,L2Ind-%BudgetUsed,Gr-Profit,Gr-Revenue,Gr-Cost,Gr-BidsMade,Gr-BidsWon,Gr-ClicksWon,Gr-%BudgetUsed
10.0,0.0,357.8514649982684,465.0,-107.14853500173166,11533.0,1100.0,465.0,0.93,391.6914345551936,500.0,-108.30856544480646,35368.0,1154.0,500.0,1.0,397.42149921060866,465.0,-67.57850078939137,49886.0,1070.0,465.0,0.93,165.08435613905635,500.0,-334.91564386094365,10998.0,1037.0,500.0,1.0
10.0,1.0,380.82744913559117,491.0,-110.17255086440883,11386.0,1102.0,491.0,0.982,397.52634821605767,500.0,-102.47365178394234,30380.0,1060.0,500.0,1.0,432.0980611532812,500.0,-67.90193884671876,47431.0,1061.0,500.0,1.0,185.67846895754525,500.0,-314.32153104245475,9717.0,972.0,500.0,1.0
10.0,2.0,359.5009726537968,472.0,-112.49902734620323,12330.0,1140.0,472.0,0.944,394.22353674115243,500.0,-105.7764632588476,32933.0,1097.0,500.0,1.0,397.4152616545314,468.0,-70.58473834546858,49702.0,1092.0,468.0,0.936,186.83817051590694,500.0,-313.16182948409306,10451.0,980.0,500.0,1.0
10.0,3.0,337.65661810558083,449.0,-111.34338189441905,11966.0,1132.0,449.0,0.898,397.26379793329437,500.0,-102.73620206670564,32582.0,1075.0,500.0,1.0,421.07849192645483,490.0,-68.9215080735451,49557.0,1080.0,490.0,0.98,186.9035886113752,500.0,-313.09641138862474,10343.0,981.0,500.0,1.0
10.0,4.0,339.8725234341144,448.0,-108.12747656588543,11818.0,1096.0,448.0,0.896,394.6896395545551,500.0,-105.31036044544494,34108.0,1101.0,500.0,1.0,390.7616248153007,463.0,-72.23837518469932,50000.0,1124.0,463.0,0.926,179.0542974664378,500.0,-320.9457025335622,10655.0,1017.0,500.0,1.0
10.0,5.0,351.35582763488475,467.0,-115.64417236511511,12276.0,1169.0,467.0,0.934,389.68834217719484,500.0,-110.31165782280515,34230.0,1146.0,500.0,1.0,395.3390378435252,465.0,-69.66096215647484,49849.0,1095.0,465.0,0.93,181.33579541610843,500.0,-318.6642045838916,10437.0,990.0,500.0,1.0
10.0,6.0,365.8543400672082,475.0,-109.14565993279172,11910.0,1102.0,475.0,0.95,398.5071725737061,500.0,-101.49282742629394,33600.0,1089.0,500.0,1.0,414.59514455721603,481.0,-66.404855442784,49638.0,1067.0,481.0,0.962,185.02488033519953,500.0,-314.97511966480045,9456.0,975.0,500.0,1.0
10.0,7.0,383.2411441295426,495.0,-111.75885587045723,11461.0,1121.0,495.0,0.99,395.5537830260367,500.0,-104.44621697396335,33842.0,1089.0,500.0,1.0,412.67680630844507,485.0,-72.32319369155496,49651.0,1120.0,485.0,0.97,183.20784268967407,500.0,-316.79215731032593,10892.0,1028.0,500.0,1.0
10.0,8.0,342.3617354358594,458.0,-115.63826456414066,12377.0,1158.0,458.0,0.916,389.5157888354676,500.0,-110.4842111645324,33930.0,1128.0,500.0,1.0,367.5789028242004,438.0,-70.42109717579967,49687.0,1088.0,438.0,0.876,169.25958326849604,500.0,-330.74041673150396,12171.0,1069.0,500.0,1.0
10.0,9.0,356.89133256959394,465.0,-108.10866743040596,12188.0,1097.0,465.0,0.93,396.734788367757,500.0,-103.26521163224302,33111.0,1064.0,500.0,1.0,414.0885546821415,485.0,-70.91144531785848,49446.0,1109.0,485.0,0.97,189.63371290219715,500.0,-310.36628709780285,10092.0,973.0,500.0,1.0
10.0,10.0,339.8475393460458,452.0,-112.15246065395404,12137.0,1137.0,452.0,0.904,390.3819588490379,500.0,-109.61804115096214,36086.0,1151.0,500.0,1.0,400.78632016611834,467.0,-66.21367983388163,49914.0,1058.0,467.0,0.934,183.0043059280961,500.0,-316.995694071904,11872.0,1018.0,500.0,1.0
10.0,11.0,345.05698780026626,457.0,-111.94301219973372,11956.0,1126.0,457.0,0.914,389.73730809799923,500.0,-110.26269190200074,32470.0,1136.0,500.0,1.0,426.89057140004974,500.0,-73.10942859995023,48713.0,1129.0,500.0,1.0,173.35763435412395,500.0,-326.6423656458761,10913.0,1053.0,500.0,1.0
10.0,12.0,367.2184719384844,478.0,-110.78152806151542,11698.0,1133.0,478.0,0.956,395.37264065034316,500.0,-104.62735934965687,33603.0,1115.0,500.0,1.0,430.1048617875625,500.0,-69.89513821243756,49486.0,1114.0,500.0,1.0,178.92848610483975,500.0,-321.0715138951602,11300.0,1024.0,500.0,1.0
10.0,13.0,383.90068359879604,490.0,-106.09931640120391,10876.0,1074.0,490.0,0.98,399.8103085224589,500.0,-100.18969147754116,30886.0,1052.0,500.0,1.0,431.2753995803687,500.0,-68.72460041963127,47262.0,1095.0,500.0,1.0,175.28041451363845,500.0,-324.71958548636155,10722.0,1038.0,500.0,1.0
10.0,14.0,374.6819457657346,487.0,-112.31805423426536,11399.0,1140.0,487.0,0.974,396.26283146987686,500.0,-103.73716853012316,30281.0,1079.0,500.0,1.0,430.9848732514215,500.0,-69.01512674857842,46736.0,1091.0,500.0,1.0,162.34039196165713,500.0,-337.6596080383428,11170.0,1061.0,500.0,1.0
10.0,15.0,371.8595814912243,482.0,-110.14041850877567,11289.0,1111.0,482.0,0.964,401.51950938577465,500.0,-98.48049061422535,30067.0,1037.0,500.0,1.0,430.8422625703486,500.0,-69.15773742965148,47964.0,1090.0,500.0,1.0,185.15990006750494,500.0,-314.8400999324951,10005.0,989.0,500.0,1.0
10.0,16.0,357.9898185006362,473.0,-115.01018149936371,12112.0,1170.0,473.0,0.946,404.71958913482854,500.0,-95.28041086517149,30737.0,1017.0,500.0,1.0,431.3492867651554,500.0,-68.65071323484457,48320.0,1081.0,500.0,1.0,185.28908427052838,500.0,-314.71091572947165,10849.0,987.0,500.0,1.0
10.0,17.0,368.6697431695985,473.0,-104.33025683040138,11394.0,1060.0,473.0,0.946,395.4140144724327,500.0,-104.58598552756732,31783.0,1085.0,500.0,1.0,430.4600944178953,500.0,-69.53990558210481,47574.0,1084.0,500.0,1.0,177.975862313649,500.0,-322.024137686351,11565.0,1031.0,500.0,1.0
10.0,18.0,368.36389220944756,479.0,-110.63610779055236,11749.0,1105.0,479.0,0.958,396.34247868051165,500.0,-103.65752131948841,34505.0,1090.0,500.0,1.0,409.9440644236163,479.0,-69.0559355763838,49985.0,1076.0,479.0,0.958,177.3255709444499,500.0,-322.6744290555501,11007.0,1025.0,500.0,1.0
10.0,19.0,366.12619347956536,480.0,-113.87380652043451,11642.0,1150.0,480.0,0.96,391.1169547989459,500.0,-108.88304520105416,31270.0,1137.0,500.0,1.0,424.8684638845938,496.0,-71.13153611540615,47977.0,1114.0,496.0,0.992,167.95135821775182,500.0,-332.0486417822482,10654.0,1059.0,500.0,1.0
10.0,20.0,365.46619945304917,477.0,-111.53380054695083,11670.0,1131.0,477.0,0.954,396.2494999877023,500.0,-103.75050001229773,32258.0,1074.0,500.0,1.0,418.959212001753,487.0,-68.040787998247,49365.0,1062.0,487.0,0.974,167.0879918406246,500.0,-332.91200815937543,10652.0,1053.0,500.0,1.0
10.0,21.0,340.6468715711306,452.0,-111.35312842886933,11960.0,1119.0,452.0,0.904,393.39928881219265,500.0,-106.60071118780745,33311.0,1098.0,500.0,1.0,393.08629358446393,463.0,-69.9137064155361,49635.0,1084.0,463.0,0.926,180.0078668794573,500.0,-319.9921331205427,10243.0,998.0,500.0,1.0
10.0,22.0,344.941032612424,453.0,-108.05896738757599,11763.0,1095.0,453.0,0.906,394.08555358927816,500.0,-105.91444641072184,33236.0,1120.0,500.0,1.0,412.8501928765616,483.0,-70.14980712343846,49731.0,1112.0,483.0,0.966,166.45450002295982,500.0,-333.5454999770402,10386.0,1050.0,500.0,1.0
10.0,23.0,350.42156901709734,462.0,-111.57843098290255,12078.0,1122.0,462.0,0.924,396.38830447349585,500.0,-103.61169552650423,33513.0,1084.0,500.0,1.0,377.62799568846987,444.0,-66.37200431153018,50000.0,1062.0,444.0,0.888,178.3565742161742,500.0,-321.64342578382576,10390.0,1010.0,500.0,1.0
10.0,24.0,363.018017642759,471.0,-107.9819823572409,11704.0,1081.0,471.0,0.942,389.3363895586559,500.0,-110.6636104413441,35442.0,1149.0,500.0,1.0,402.5460850553998,472.0,-69.45391494460016,49712.0,1092.0,472.0,0.944,194.11421099038216,500.0,-305.88578900961784,9350.0,958.0,500.0,1.0
10.0,25.0,339.54928651651585,451.0,-111.45071348348408,11917.0,1132.0,451.0,0.902,391.48241774367034,500.0,-108.51758225632967,34965.0,1138.0,500.0,1.0,362.63923712123017,432.0,-69.3607628787698,49893.0,1089.0,432.0,0.864,189.23753766014454,500.0,-310.76246233985546,9667.0,966.0,500.0,1.0
10.0,26.0,347.55911178847873,456.0,-108.44088821152128,11983.0,1097.0,456.0,0.912,394.50560004057695,500.0,-105.49439995942313,34526.0,1101.0,500.0,1.0,412.8035857674675,483.0,-70.19641423253245,49838.0,1097.0,483.0,0.966,165.49621399270885,500.0,-334.5037860072912,12152.0,1092.0,500.0,1.0
10.0,27.0,354.43590318495967,460.0,-105.56409681504022,11488.0,1063.0,460.0,0.92,398.57366375533326,500.0,-101.42633624466676,31416.0,1044.0,500.0,1.0,428.9165483172717,500.0,-71.08345168272824,48676.0,1103.0,500.0,1.0,176.6521653786777,500.0,-323.3478346213224,10049.0,1005.0,500.0,1.0
10.0,28.0,351.82164602015735,469.0,-117.17835397984264,12038.0,1196.0,469.0,0.938,382.66936252070184,500.0,-117.33063747929813,37756.0,1229.0,500.0,1.0,407.79087869068536,480.0,-72.20912130931463,49863.0,1137.0,480.0,0.96,188.77979432734685,500.0,-311.22020567265315,10900.0,1013.0,500.0,1.0
10.0,29.0,375.2282927770331,488.0,-112.77170722296685,11657.0,1140.0,488.0,0.976,398.23036467017954,500.0,-101.76963532982047,29465.0,1049.0,500.0,1.0,430.75593224935056,500.0,-69.24406775064948,47817.0,1091.0,500.0,1.0,180.48315264099045,500.0,-319.5168473590096,10906.0,1016.0,500.0,1.0
10.0,30.0,360.567020170888,472.0,-111.432979829112,12081.0,1132.0,472.0,0.944,399.3375862504568,500.0,-100.6624137495431,30603.0,1047.0,500.0,1.0,430.1984605889473,500.0,-69.80153941105269,47912.0,1093.0,500.0,1.0,181.2321369790668,500.0,-318.76786302093325,10677.0,992.0,500.0,1.0
10.0,31.0,366.02360407228116,473.0,-106.97639592771877,10827.0,1084.0,473.0,0.946,394.5117285998302,500.0,-105.48827140016981,31274.0,1107.0,500.0,1.0,423.2115522920999,495.0,-71.78844770790015,49545.0,1132.0,495.0,0.99,172.9733957416505,500.0,-327.0266042583495,10482.0,1031.0,500.0,1.0
