Budget,sim,Ind-Profit,Ind-Revenue,Ind-Cost,Ind-BidsMade,Ind-BidsWon,Ind-ClicksWon,Ind-%BudgetUsed,L2-Profit,L2-Revenue,L2-Cost,L2-BidsMade,L2-BidsWon,L2-ClicksWon,L2-%BudgetUsed,L2Ind-Profit,L2Ind-Revenue,L2Ind-Cost,L2Ind-BidsMade,L2Ind-BidsWon,L2Ind-ClicksWon,L2Ind-%BudgetUsed,Gr-Profit,Gr-Revenue,Gr-Cost,Gr-BidsMade,Gr-BidsWon,Gr-ClicksWon,Gr-%BudgetUsed
10.0,0.0,380.50586466942667,445.0,-64.49413533057341,11020.0,1125.0,445.0,0.89,434.45243316791954,500.0,-65.54756683208049,31812.0,1189.0,500.0,1.0,423.7147204237346,459.0,-35.28527957626539,49981.0,1099.0,459.0,0.918,150.76576666379674,500.0,-349.2342333362032,5212.0,1031.0,500.0,1.0
10.0,1.0,420.32791078548115,484.0,-63.67208921451891,10330.0,1119.0,484.0,0.968,439.89741342191195,500.0,-60.10258657808803,28222.0,1115.0,500.0,1.0,463.26582509540816,500.0,-36.7341749045919,49155.0,1134.0,500.0,1.0,158.53512653778398,500.0,-341.464873462216,4718.0,1015.0,500.0,1.0
10.0,2.0,406.86729811096455,475.0,-68.13270188903542,11173.0,1187.0,475.0,0.95,435.4740577591552,500.0,-64.52594224084476,30037.0,1148.0,500.0,1.0,427.19202446921787,464.0,-36.80797553078203,49808.0,1124.0,464.0,0.928,160.28494205387102,500.0,-339.71505794612887,5239.0,1047.0,500.0,1.0
10.0,3.0,398.75742272301665,467.0,-68.2425772769835,11267.0,1154.0,467.0,0.934,436.7014260777217,500.0,-63.29857392227833,29331.0,1129.0,500.0,1.0,445.1260513228654,482.0,-36.87394867713459,49335.0,1110.0,482.0,0.964,184.5490246486843,500.0,-315.45097535131566,4943.0,981.0,500.0,1.0
10.0,4.0,400.9601294693782,464.0,-63.03987053062187,10906.0,1099.0,464.0,0.928,433.4857798267043,500.0,-66.5142201732958,32341.0,1213.0,500.0,1.0,421.5955824341608,460.0,-38.40441756583926,49988.0,1145.0,460.0,0.92,174.8066365072731,500.0,-325.1933634927269,5349.0,1033.0,500.0,1.0
10.0,5.0,416.34688193634446,484.0,-67.65311806365557,11413.0,1164.0,484.0,0.968,432.8677754335152,500.0,-67.13222456648484,30896.0,1176.0,500.0,1.0,428.1754960920938,464.0,-35.82450390790623,49968.0,1114.0,464.0,0.928,179.07486248829085,500.0,-320.9251375117091,4805.0,973.0,500.0,1.0
10.0,6.0,412.37514248550536,477.0,-64.62485751449475,10571.0,1112.0,477.0,0.954,440.78392278006305,500.0,-59.216077219936935,29523.0,1098.0,500.0,1.0,451.0807754559006,488.0,-36.91922454409953,49601.0,1114.0,488.0,0.976,182.9647902189066,500.0,-317.0352097810934,4292.0,944.0,500.0,1.0
10.0,7.0,418.6736291285942,487.0,-68.32637087140581,10458.0,1142.0,487.0,0.974,436.0490417194747,500.0,-63.9509582805254,31199.0,1162.0,500.0,1.0,452.9644536947622,492.0,-39.03554630523781,49697.0,1162.0,492.0,0.984,182.14346154770124,500.0,-317.85653845229876,4867.0,990.0,500.0,1.0
10.0,8.0,380.2616154586598,450.0,-69.73838454134022,11482.0,1178.0,450.0,0.9,432.98281601321804,500.0,-67.0171839867819,30775.0,1156.0,500.0,1.0,405.00263115682833,443.0,-37.99736884317167,49828.0,1115.0,443.0,0.886,178.69903120054022,500.0,-321.30096879945984,5061.0,1004.0,500.0,1.0
10.0,9.0,377.3919520118627,440.0,-62.60804798813735,11253.0,1124.0,440.0,0.88,437.07614287726375,500.0,-62.92385712273619,31339.0,1130.0,500.0,1.0,446.30786637252805,483.0,-36.69213362747194,49288.0,1118.0,483.0,0.966,186.29517561086743,500.0,-313.70482438913257,4417.0,968.0,500.0,1.0
10.0,10.0,393.5323957914664,460.0,-66.46760420853363,11159.0,1124.0,460.0,0.92,435.4664048673052,500.0,-64.5335951326948,31264.0,1153.0,500.0,1.0,436.973601065642,472.0,-35.02639893435797,49729.0,1075.0,472.0,0.944,174.29455283474016,500.0,-325.70544716525984,5006.0,997.0,500.0,1.0
10.0,11.0,389.1302980019808,451.0,-61.86970199801915,10396.0,1083.0,451.0,0.902,435.92536504893684,500.0,-64.07463495106313,27997.0,1144.0,500.0,1.0,457.4741471112827,495.0,-37.52585288871738,49568.0,1149.0,495.0,0.99,175.13228946111755,500.0,-324.8677105388824,4989.0,1059.0,500.0,1.0
10.0,12.0,409.00665243645733,475.0,-65.99334756354273,10513.0,1132.0,475.0,0.95,440.2140586334473,500.0,-59.78594136655271,29119.0,1092.0,500.0,1.0,461.74491829347727,499.0,-37.25508170652281,49641.0,1143.0,499.0,0.998,172.86575549664636,500.0,-327.1342445033536,5226.0,1004.0,500.0,1.0
10.0,13.0,423.59731261420745,488.0,-64.40268738579249,10375.0,1123.0,488.0,0.976,441.7338129111308,500.0,-58.26618708886918,27139.0,1054.0,500.0,1.0,463.5487472770717,500.0,-36.45125272292835,46602.0,1107.0,500.0,1.0,176.99022396243367,500.0,-323.0097760375663,4944.0,993.0,500.0,1.0
10.0,14.0,422.5681145715648,489.0,-66.4318854284352,10577.0,1155.0,489.0,0.978,438.6211321401587,500.0,-61.3788678598413,26541.0,1088.0,500.0,1.0,462.74187569886226,500.0,-37.25812430113777,47600.0,1118.0,500.0,1.0,159.57851697535088,500.0,-340.4214830246491,5415.0,1051.0,500.0,1.0
10.0,15.0,415.08248535251244,482.0,-66.9175146474876,10733.0,1155.0,482.0,0.964,440.0335736715434,500.0,-59.96642632845665,27223.0,1070.0,500.0,1.0,463.30120670548854,500.0,-36.69879329451143,47137.0,1107.0,500.0,1.0,186.67299467997063,500.0,-313.3270053200293,4973.0,996.0,500.0,1.0
10.0,16.0,413.8812996876914,479.0,-65.11870031230865,10792.0,1141.0,479.0,0.958,441.2972231229833,500.0,-58.702776877016674,28604.0,1093.0,500.0,1.0,454.40641000182916,492.0,-37.59358999817075,49386.0,1128.0,492.0,0.984,176.01806361001331,500.0,-323.9819363899867,4966.0,993.0,500.0,1.0
10.0,17.0,412.62649824802645,476.0,-63.37350175197358,10930.0,1113.0,476.0,0.952,438.8715592482511,500.0,-61.12844075174888,28524.0,1115.0,500.0,1.0,464.7182591870949,500.0,-35.28174081290518,47128.0,1102.0,500.0,1.0,182.6182692130311,500.0,-317.38173078696894,4946.0,988.0,500.0,1.0
10.0,18.0,416.6418725445885,483.0,-66.35812745541142,10901.0,1111.0,483.0,0.966,438.02076971504414,500.0,-61.979230284955904,30585.0,1116.0,500.0,1.0,450.94145566715235,488.0,-37.05854433284768,49754.0,1105.0,488.0,0.976,169.923192093561,500.0,-330.07680790643906,5204.0,1040.0,500.0,1.0
10.0,19.0,413.7114102256759,477.0,-63.288589774324095,10866.0,1137.0,477.0,0.954,437.28785566359596,500.0,-62.712144336404066,28938.0,1167.0,500.0,1.0,453.1088749063726,491.0,-37.89112509362741,48973.0,1174.0,491.0,0.982,161.2486399579914,500.0,-338.75136004200857,5354.0,1088.0,500.0,1.0
10.0,20.0,398.986707176992,466.0,-67.013292823008,11070.0,1171.0,466.0,0.932,436.43174048228985,500.0,-63.56825951771016,30566.0,1154.0,500.0,1.0,450.28801543088576,485.0,-34.7119845691143,49397.0,1080.0,485.0,0.97,155.5935443034798,500.0,-344.4064556965202,5274.0,1052.0,500.0,1.0
10.0,21.0,401.0487345399091,469.0,-67.95126546009091,11172.0,1178.0,469.0,0.938,436.27314285003075,500.0,-63.72685714996924,29092.0,1123.0,500.0,1.0,432.31146341018297,469.0,-36.68853658981705,49753.0,1130.0,469.0,0.938,175.896263154076,500.0,-324.10373684592395,4917.0,1000.0,500.0,1.0
10.0,22.0,397.4358112637575,462.0,-64.5641887362424,11266.0,1120.0,462.0,0.924,439.6966556271883,500.0,-60.3033443728117,29420.0,1131.0,500.0,1.0,445.7288598573,483.0,-37.27114014269996,49465.0,1129.0,483.0,0.966,149.65389813867705,500.0,-350.346101861323,5370.0,1061.0,500.0,1.0
10.0,23.0,397.15117635779916,461.0,-63.84882364220087,10937.0,1102.0,461.0,0.922,438.06964678411765,500.0,-61.930353215882384,30744.0,1131.0,500.0,1.0,429.6617986471192,466.0,-36.33820135288081,49917.0,1107.0,466.0,0.932,174.91710891804192,500.0,-325.08289108195805,4719.0,989.0,500.0,1.0
10.0,24.0,415.99401336555934,483.0,-67.00598663444057,10701.0,1125.0,483.0,0.966,433.6812830298497,500.0,-66.31871697015025,31741.0,1188.0,500.0,1.0,428.6076927041471,467.0,-38.39230729585279,49649.0,1134.0,467.0,0.934,179.2127231614736,500.0,-320.7872768385264,4410.0,985.0,500.0,1.0
10.0,25.0,415.927734354245,480.0,-64.07226564575502,10656.0,1105.0,480.0,0.96,434.4598141295207,500.0,-65.54018587047933,31076.0,1152.0,500.0,1.0,417.20887054852443,455.0,-37.79112945147561,49747.0,1129.0,455.0,0.91,185.98056991060312,500.0,-314.0194300893969,4416.0,946.0,500.0,1.0
10.0,26.0,379.16101288314553,444.0,-64.83898711685438,11413.0,1144.0,444.0,0.888,438.06294093759914,500.0,-61.93705906240078,30172.0,1137.0,500.0,1.0,442.5486897674473,480.0,-37.45131023255272,49802.0,1134.0,480.0,0.96,155.4095836147195,500.0,-344.5904163852805,4895.0,1065.0,500.0,1.0
10.0,27.0,402.1271393579993,465.0,-62.8728606420007,10849.0,1090.0,465.0,0.93,441.3484624579131,500.0,-58.651537542086835,28521.0,1061.0,500.0,1.0,448.1211292467595,484.0,-35.878870753240456,49267.0,1122.0,484.0,0.968,166.71404181889235,500.0,-333.2859581811076,5218.0,1052.0,500.0,1.0
10.0,28.0,400.01794932709845,469.0,-68.98205067290145,11245.0,1212.0,469.0,0.938,434.3609695320829,500.0,-65.63903046791712,28685.0,1155.0,500.0,1.0,417.21991433468986,456.0,-38.780085665310125,49871.0,1174.0,456.0,0.912,163.0890504947419,500.0,-336.91094950525803,5076.0,1023.0,500.0,1.0
10.0,29.0,425.8796901358648,490.0,-64.12030986413522,10224.0,1104.0,490.0,0.98,436.787236822352,500.0,-63.21276317764809,27583.0,1114.0,500.0,1.0,462.9637835330968,500.0,-37.036216466903284,47719.0,1121.0,500.0,1.0,175.7019304765729,500.0,-324.2980695234271,4635.0,982.0,500.0,1.0
10.0,30.0,402.2305060712003,463.0,-60.76949392879974,10723.0,1089.0,463.0,0.926,439.4867535643731,500.0,-60.51324643562692,28871.0,1093.0,500.0,1.0,462.0921772378889,499.0,-36.90782276211108,48462.0,1122.0,499.0,0.998,188.78140595627957,500.0,-311.2185940437204,4609.0,948.0,500.0,1.0
10.0,31.0,425.7231407578296,492.0,-66.27685924217042,10149.0,1130.0,492.0,0.984,436.8101723527367,500.0,-63.189827647263314,28791.0,1158.0,500.0,1.0,460.64108331568957,498.0,-37.358916684310444,48791.0,1145.0,498.0,0.996,177.56710058110733,500.0,-322.43289941889265,4693.0,990.0,500.0,1.0
10.0,32.0,381.81751382196865,448.0,-66.18248617803133,11304.0,1160.0,448.0,0.896,435.534709479466,500.0,-64.46529052053397,31003.0,1168.0,500.0,1.0,456.07552355150983,492.0,-35.92447644849017,48987.0,1102.0,492.0,0.984,178.510858766012,500.0,-321.48914123398794,4682.0,986.0,500.0,1.0
10.0,33.0,414.6216913189231,478.0,-63.37830868107693,10153.0,1102.0,478.0,0.956,440.752759820177,500.0,-59.247240179823024,29203.0,1081.0,500.0,1.0,453.5690828787244,491.0,-37.43091712127567,49453.0,1145.0,491.0,0.982,166.01914908624204,500.0,-333.980850913758,5067.0,1003.0,500.0,1.0
10.0,34.0,422.8813020097334,485.0,-62.11869799026659,11040.0,1123.0,485.0,0.97,441.2918067461486,500.0,-58.70819325385139,28243.0,1116.0,500.0,1.0,463.61300832883404,500.0,-36.38699167116598,48324.0,1132.0,500.0,1.0,176.65669793146762,500.0,-323.34330206853235,4837.0,1002.0,500.0,1.0
10.0,35.0,431.1053861804376,495.0,-63.89461381956247,10472.0,1126.0,495.0,0.99,440.7739154637905,500.0,-59.22608453620949,28206.0,1075.0,500.0,1.0,458.6397438225842,495.0,-36.36025617741575,49268.0,1109.0,495.0,0.99,178.5862537515742,500.0,-321.4137462484258,5130.0,995.0,500.0,1.0
